video_id,total_views,total_rows,days_sience_upload_to_last_views,avg_views_per_day,video_upload_date,last_count_date,stdev_video,max_video_count,max_count_date,is_weekend_max_count,days_sience_upload_to_max_views_date,min_video_count,min_count_date,is_weekend_min_count,days_sience_upload_to_min_views_date,upload_weekday,is_weekend_upload,avg_daily_delta,trend_slope
72,5410,120,120,45.08,23/09/2017,21/01/2018,15.72,85,02/10/2017,0,9,19,21/01/2018,1,120,7,1,-0.41,-0.37
66,8880,119,120,74,22/09/2017,20/01/2018,21.73,125,22/09/2017,0,0,37,18/01/2018,0,118,6,0,-0.74,-0.45
78,7413,120,120,61.77,20/09/2017,18/01/2018,17.44,106,21/09/2017,0,1,34,28/12/2017,0,99,4,0,-0.08,-0.32
32,4165,118,120,34.71,07/09/2017,05/01/2018,14.72,67,11/09/2017,0,4,11,30/12/2017,1,114,5,0,-0.41,-0.37
26,9163,120,120,76.36,24/10/2017,21/02/2018,20.12,128,01/11/2017,0,8,44,09/02/2018,0,108,3,0,-0.16,-0.35
12,8970,120,120,74.75,23/09/2017,21/01/2018,19.51,124,25/09/2017,0,2,37,06/01/2018,1,105,7,1,-0.48,-0.39
35,8670,120,120,72.25,14/10/2017,11/02/2018,19.15,124,23/10/2017,0,9,41,15/01/2018,0,93,7,1,-0.31,-0.38
86,11251,120,120,93.76,08/10/2017,05/02/2018,24.19,154,10/10/2017,0,2,53,20/01/2018,1,104,1,1,-0.56,-0.43
63,7746,119,120,64.55,09/10/2017,06/02/2018,18.46,109,17/10/2017,0,8,32,26/01/2018,0,109,2,0,-0.51,-0.35
6,3971,119,120,33.09,29/09/2017,27/01/2018,15.5,71,29/09/2017,0,0,8,26/01/2018,0,119,6,0,-0.53,-0.4
43,9917,118,120,82.64,13/09/2017,11/01/2018,22.03,132,28/09/2017,0,15,45,10/01/2018,0,119,4,0,-0.31,-0.43
55,6826,119,120,56.88,10/10/2017,07/02/2018,18.11,103,19/10/2017,0,9,26,28/01/2018,1,110,3,0,-0.26,-0.4
98,5515,121,120,45.96,22/10/2017,19/02/2018,15.46,83,25/10/2017,0,3,18,14/02/2018,0,115,1,1,-0.4,-0.36
49,7721,118,120,64.34,20/10/2017,17/02/2018,18.49,110,25/10/2017,0,5,30,17/02/2018,1,120,6,0,-0.25,-0.37
67,4061,120,120,33.84,07/10/2017,04/02/2018,15.66,70,07/10/2017,1,0,9,02/02/2018,0,118,7,1,-0.5,-0.4
21,11274,120,120,93.95,29/09/2017,27/01/2018,22.18,151,29/09/2017,0,0,49,23/01/2018,0,116,6,0,-0.61,-0.35
27,3912,116,120,32.6,03/10/2017,31/01/2018,15.31,69,06/10/2017,0,3,8,30/01/2018,0,119,3,0,-0.22,-0.39
58,7367,117,120,61.39,03/10/2017,31/01/2018,18.71,108,07/10/2017,1,4,29,30/01/2018,0,119,3,0,-0.3,-0.42
81,8444,120,120,70.37,09/09/2017,07/01/2018,20.51,115,20/09/2017,0,11,33,07/01/2018,1,120,7,1,-0.64,-0.44
64,4204,119,120,35.03,27/09/2017,25/01/2018,15.06,74,04/10/2017,0,7,10,24/01/2018,0,119,4,0,-0.43,-0.36
38,6381,121,120,53.17,23/09/2017,21/01/2018,15.89,97,23/09/2017,1,0,24,17/01/2018,0,116,7,1,-0.53,-0.32
87,8663,118,120,72.19,10/10/2017,07/02/2018,18.57,120,14/10/2017,1,4,37,06/02/2018,0,119,3,0,-0.03,-0.35
7,13156,120,120,109.63,11/10/2017,08/02/2018,25.37,166,12/10/2017,0,1,65,17/01/2018,0,98,4,0,-0.63,-0.43
44,14409,120,120,120.08,17/09/2017,15/01/2018,27.79,181,29/09/2017,0,12,68,09/01/2018,0,114,1,1,-0.23,-0.37
1,13197,120,120,109.97,11/09/2017,09/01/2018,26.44,169,11/09/2017,0,0,62,30/12/2017,1,110,2,0,-0.81,-0.41
50,10908,120,120,90.9,23/09/2017,21/01/2018,20.8,145,26/09/2017,0,3,52,17/01/2018,0,116,7,1,-0.17,-0.32
24,11346,118,120,94.55,17/10/2017,14/02/2018,22.5,149,25/10/2017,0,8,50,06/02/2018,0,112,3,0,-0.26,-0.35
47,4133,119,120,34.44,15/10/2017,12/02/2018,14.97,72,23/10/2017,0,8,9,09/02/2018,0,117,1,1,-0.45,-0.36
70,11401,119,120,95.01,03/09/2017,01/01/2018,22.37,158,06/09/2017,0,3,51,28/12/2017,0,116,1,1,-0.24,-0.32
93,13732,118,120,114.43,10/09/2017,08/01/2018,25.93,181,13/09/2017,0,3,69,25/12/2017,0,106,1,1,-0.39,-0.32
18,12273,117,120,102.28,16/09/2017,14/01/2018,24.04,159,22/09/2017,0,6,59,31/12/2017,1,106,7,1,-0.16,-0.44
30,4607,118,120,38.39,13/10/2017,10/02/2018,15.28,78,18/10/2017,0,5,13,09/02/2018,0,119,6,0,-0.46,-0.36
84,14183,118,120,118.19,06/10/2017,03/02/2018,29.87,186,13/10/2017,0,7,67,03/02/2018,1,120,6,0,-0.87,-0.43
10,8464,119,120,70.53,23/10/2017,20/02/2018,18.94,120,27/10/2017,0,4,36,16/02/2018,0,116,2,0,-0.08,-0.33
61,8579,119,120,71.49,27/10/2017,24/02/2018,20.01,122,30/10/2017,0,3,35,21/02/2018,0,117,6,0,-0.01,-0.38
41,7383,120,120,61.52,24/10/2017,21/02/2018,16.46,109,31/10/2017,0,7,33,30/01/2018,0,98,3,0,-0.5,-0.33
90,9519,116,120,79.33,22/09/2017,20/01/2018,21.21,139,27/09/2017,0,5,43,12/01/2018,0,112,6,0,-0.53,-0.38
4,14192,119,120,118.27,12/10/2017,09/02/2018,26.88,184,17/10/2017,0,5,71,13/01/2018,1,93,5,0,-0.38,-0.41
96,9299,118,120,77.49,15/09/2017,13/01/2018,20.71,125,30/09/2017,1,15,42,08/01/2018,0,115,6,0,-0.47,-0.41
65,5412,120,120,45.1,14/09/2017,12/01/2018,16.47,87,14/09/2017,0,0,16,06/01/2018,1,114,5,0,-0.57,-0.39
79,4466,121,120,37.22,27/09/2017,25/01/2018,14.24,67,01/10/2017,1,4,12,17/01/2018,0,112,4,0,-0.31,-0.36
19,7913,120,120,65.94,08/10/2017,05/02/2018,18.24,113,13/10/2017,0,5,30,05/02/2018,0,120,1,1,-0.5,-0.34
73,7189,117,120,59.91,03/09/2017,01/01/2018,18.6,105,03/09/2017,1,0,27,01/01/2018,0,120,1,1,-0.67,-0.38
25,4359,119,120,36.33,08/10/2017,05/02/2018,14.84,78,10/10/2017,0,2,11,04/02/2018,1,119,1,1,-0.38,-0.36
36,9742,118,120,81.18,30/10/2017,27/02/2018,22.66,133,11/11/2017,1,12,40,25/02/2018,1,118,2,0,-0.75,-0.41
85,9491,119,120,79.09,24/10/2017,21/02/2018,21.57,127,25/10/2017,0,1,41,17/02/2018,1,116,3,0,-0.11,-0.41
13,12033,118,120,100.28,03/09/2017,01/01/2018,23.96,166,06/09/2017,0,3,57,25/12/2017,0,113,1,1,-0.01,-0.33
62,11955,121,120,99.63,22/10/2017,19/02/2018,21.82,152,24/10/2017,0,2,54,18/02/2018,1,119,1,1,-0.29,-0.35
42,5805,120,120,48.38,14/09/2017,12/01/2018,16.27,94,15/09/2017,0,1,21,12/01/2018,0,120,5,0,-0.52,-0.36
5,12083,119,120,100.69,14/09/2017,12/01/2018,23.71,149,20/09/2017,0,6,54,10/01/2018,0,118,5,0,-0.43,-0.34
56,6177,120,120,51.48,01/10/2017,29/01/2018,16.6,95,10/10/2017,0,9,21,26/01/2018,0,117,1,1,-0.2,-0.37
99,8646,118,120,72.05,21/10/2017,18/02/2018,17.99,116,29/10/2017,1,8,38,15/02/2018,0,117,7,1,-0.4,-0.3
22,9570,121,120,79.75,16/10/2017,13/02/2018,20.41,125,21/10/2017,1,5,40,11/02/2018,1,118,2,0,-0.56,-0.37
76,3612,121,120,30.1,13/10/2017,10/02/2018,14.4,67,13/10/2017,0,0,8,09/02/2018,0,119,6,0,-0.49,-0.37
59,11533,117,120,96.11,06/10/2017,03/02/2018,24.42,153,11/10/2017,0,5,54,30/01/2018,0,116,6,0,-0.01,-0.32
82,14328,120,120,119.4,30/09/2017,28/01/2018,25.88,181,30/09/2017,1,0,72,25/01/2018,0,117,7,1,-0.74,-0.33
33,9114,119,120,75.95,17/10/2017,14/02/2018,21.04,126,02/11/2017,0,16,38,12/02/2018,0,118,3,0,-0.25,-0.39
39,7223,120,120,60.19,11/10/2017,08/02/2018,19.06,106,13/10/2017,0,2,27,06/02/2018,0,118,4,0,-0.34,-0.41
16,9678,117,120,80.65,08/09/2017,06/01/2018,22.02,143,11/09/2017,0,3,47,23/12/2017,1,106,6,0,-0.4,-0.42
88,10570,119,120,88.08,09/09/2017,07/01/2018,21.23,146,22/09/2017,0,13,54,12/12/2017,0,94,7,1,-0.14,-0.27
53,9548,119,120,79.57,16/09/2017,14/01/2018,20.41,132,26/09/2017,0,10,44,24/12/2017,1,99,7,1,-0.6,-0.4
45,11162,117,120,93.02,19/09/2017,17/01/2018,23.63,163,19/09/2017,0,0,58,10/01/2018,0,113,3,0,-0.83,-0.39
2,6163,119,120,51.36,03/10/2017,31/01/2018,16.53,99,03/10/2017,0,0,22,29/01/2018,0,118,3,0,-0.64,-0.39
48,8775,121,120,73.13,25/09/2017,23/01/2018,19.09,120,03/10/2017,0,8,35,11/01/2018,0,108,2,0,-0.53,-0.39
71,5344,119,120,44.53,17/09/2017,15/01/2018,15.24,84,19/09/2017,0,2,18,14/01/2018,1,119,1,1,-0.29,-0.34
94,9259,121,120,77.16,06/09/2017,04/01/2018,20.48,130,08/09/2017,0,2,37,02/01/2018,0,118,4,0,-0.13,-0.38
77,6594,118,120,54.95,13/09/2017,11/01/2018,17.99,103,13/09/2017,0,0,29,29/12/2017,0,107,4,0,-0.61,-0.39
17,11456,120,120,95.47,18/09/2017,16/01/2018,22.06,151,28/09/2017,0,10,53,10/01/2018,0,114,2,0,-0.3,-0.36
31,6760,119,120,56.33,29/09/2017,27/01/2018,16.98,97,11/10/2017,0,12,24,26/01/2018,0,119,6,0,-0.27,-0.36
60,6441,119,120,53.67,10/10/2017,07/02/2018,18.4,93,15/10/2017,1,5,21,04/02/2018,1,117,3,0,-0.53,-0.42
83,10057,121,120,83.81,10/09/2017,08/01/2018,19.99,136,11/09/2017,0,1,43,07/01/2018,1,119,1,1,-0.6,-0.32
34,12723,119,120,106.03,11/10/2017,08/02/2018,24.71,167,15/10/2017,1,4,61,07/02/2018,0,119,4,0,-0.65,-0.39
40,5676,119,120,47.3,27/10/2017,24/02/2018,16.43,90,02/11/2017,0,6,18,16/02/2018,0,112,6,0,-0.4,-0.38
11,6721,119,120,56.01,12/10/2017,09/02/2018,18.37,103,15/10/2017,1,3,24,06/02/2018,0,117,5,0,-0.63,-0.42
54,12645,115,120,105.38,25/09/2017,23/01/2018,28.83,174,01/10/2017,1,6,62,16/01/2018,0,113,2,0,-0.3,-0.57
91,12290,119,120,102.42,26/09/2017,24/01/2018,23.58,154,11/10/2017,0,15,57,09/01/2018,0,105,3,0,-0.13,-0.43
97,8841,119,120,73.67,11/09/2017,09/01/2018,19.56,119,22/09/2017,0,11,40,27/12/2017,0,107,2,0,-0.02,-0.38
20,9877,118,120,82.31,14/10/2017,11/02/2018,21.81,132,23/10/2017,0,9,44,06/02/2018,0,115,7,1,-0.38,-0.41
68,5369,119,120,44.74,28/09/2017,26/01/2018,17.36,88,01/10/2017,1,3,18,19/01/2018,0,113,5,0,-0.23,-0.43
80,7660,118,120,63.83,29/09/2017,27/01/2018,19.54,109,10/10/2017,0,11,30,26/01/2018,0,119,6,0,-0.27,-0.42
28,5653,117,120,47.11,24/09/2017,22/01/2018,17.31,90,25/09/2017,0,1,19,19/01/2018,0,117,1,1,-0.5,-0.39
74,14066,117,120,117.22,25/10/2017,22/02/2018,25.66,181,25/10/2017,0,0,69,05/02/2018,0,103,4,0,-0.72,-0.31
57,15909,121,120,132.57,25/09/2017,23/01/2018,29.39,196,07/10/2017,1,12,74,19/01/2018,0,116,2,0,-0.89,-0.41
14,8552,121,120,71.27,02/10/2017,30/01/2018,20.73,119,09/10/2017,0,7,34,25/01/2018,0,115,2,0,-0.61,-0.43
37,6348,120,120,52.9,14/09/2017,12/01/2018,17.46,91,21/09/2017,0,7,22,07/01/2018,1,115,5,0,-0.55,-0.38
8,11135,119,120,92.79,09/10/2017,06/02/2018,21.02,145,25/10/2017,0,16,52,30/01/2018,0,113,2,0,-0.01,-0.29
51,13811,118,120,115.09,19/09/2017,17/01/2018,27.91,177,27/09/2017,0,8,65,11/01/2018,0,114,3,0,-0.44,-0.37
100,10400,119,120,86.67,25/10/2017,22/02/2018,22.8,143,25/10/2017,0,0,47,15/02/2018,0,113,4,0,-0.78,-0.4
